en_name,zh_name,ja_name
Wick,烛芯,
Spaceship Looter,,BATTLLOON - バトルーン
Earthcore: Shattered Elements,地核：破碎元素,
Geometry Dash,几何冲刺,
Blood of Darkness,黑暗之血,
Xiao Xiao Mao Xian Cun,小小冒险村,
Fresh Start Cleaning Simulator,焕然一新：清道夫模拟器,
Ben 10,少年骇客,
Next Life,来世,
Konung 2: Blood Of Titans,北方传奇2：泰坦之血,
Interloper,闯入者,
Jewel Match 3,宝石神话3,
Duo Luo Shen Zhi Chuan Qi,堕落神祇传奇EX,
Eternal Radiance,永恒光辉,
ASA: A Space Adventure,ASA：太空冒险,
D-Day,登陆日,
Another Lost Phone: Laura's Story,手机疑云 劳拉物语,
Super Weekend Mode,超级周末模式,
Forza Motorsport 7,极限竞速7,
The Hong Kong Massacre,喋血香港,
Tales of the Abyss,深渊传说,
SNOW BROS. SPECIAL,雪人兄弟 Special,
wuxiuxiantu,无休仙途,
Azure Striker Gunvolt: Striker Pack,苍蓝雷霆Gunvolt 强袭合集,
Littlewitch Romanesque: Editio Regia,少女魔法学,
A destined calamity of Zu,蜀山外传：紫青劫,
Snow Flower,不香の花,
,任天堂明星大乱斗 特别版,大乱闘スマッシュブラザーズ SPECIAL
Worms Clan Wars,百战天虫：氏族战争,
Unexplored 2: The Wayfarer's Legacy,未勘之地2：旅人遗产,
Chronicles of Teddy,泰迪编年史,
Luo Chuan Qun Xia Zhuan,洛川群侠传,
Grizzland,灰白星球,
The Lord of the Rings: Conquest,指环王 征服,
Wanderjahr,教育旅行,
Foreign Dreams,异梦,
UFO Pilot: Astro-Creeps Elite,UFO飞行员：天文精英,
The Land Beneath Us,亡者之地,
Relic Hunters Legend,遗物猎人传说,
Metal Gear Solid 2,合金装备2,
Legendary Hoplite,传奇重装步兵,
Smelter,夏娃战记,
Resident Evil: Resistance,生化危机 抵抗,
Stronghold: Warlords,要塞：群雄割据,
,流星世界演绎者,流星ワールドアクター
Sangokushi Koumeiden,英杰传2：三国志孔明传,
Hover: Revolt of Gamer,翱翔：玩家的叛乱,
Dragon Warrior Girl,龙武女将,
Trigger Runners,左轮枪手,
Square Dungeon 2,方块地牢2,
,信长之野望：天道 威力加强版,信長の野望：天道 with パワーアップキット
Project 175,东方刚欲异闻,
Honkai: Star Rail,崩坏：星穹铁道,崩壊スターレイル
GoldenEye 007,007：黄金眼,
Dimension Drive,次元驱动,
Immortal Realms: Vampire Wars,永生之境：吸血鬼战争,
Steel Rats,钢铁之鼠,
Hatred,仇恨,
Factotum,杂役,
Tony Hawk Pro Skater 3,职业滑板高手3,
Wuxia Master,御侠客,
Forza Horizon 3 Blizzard Mountain,极限竞速 地平线3 暴风雪山,
R.A.W Realms Of Ancient War,R.A.W.古域之战,
Assassin's Creed III,刺客信条3,
Drive！Drive！Drive！,冲！冲！冲！,
Biomutant,生化变种,
Sea of Lies 5: Beneath the Surface,谎言之海5：深渊召唤,
Ghost of Tsushima: Legends,对马之魂 冥人奇谭,
Edge of Space,太空边缘,
Chronicles of The Witches and Warlock,女巫和术士的编年史,
Emily Is Away Too,艾米丽也已经离开,
ASSAULT GUNNERS,冲锋枪手,
Cat Billiards,猫咪台球,
Plants Vs Zomebies Battle For Neighborville,植物大战僵尸：和睦小镇保卫战,
VASARA Collection,婆裟罗 合集,
Oozi：Earth Adventure,奥兹：地球冒险,
The Almost Gone,消失殆尽,
Solitude: Escape of Head,孤独：逃离幻境,
The Vanishing of Ethan Carter,伊森卡特的消失,
Megamagic: Wizards of the Neon Age,大魔法：霓虹时代巫师,
Space Junkies,太空镖客,
Cultures 3: Northland,文化3：北国风云,
We Are The Caretakers,我们是看守者,
Zongheng,纵横,
Halloween Night Mahjong,万圣夜麻将,
Shadowgrounds,阴影地带,
Super 2: Northern Emissary,超时空英雄传说2：北方密使,
Pro Yakyuu Famista 2011,职业棒球 家庭竞技场2011,
HELLION,地狱之徒,
Steampunk Tower,蒸汽朋克塔防,
Survival on a deserted island,荒岛求生,
Absolute Drift: Zen Edition,绝对漂移：禅版,
Midnight Outlaw: Illegal Street Drag,午夜狂飆：改装车大赛,
Smash+Grab,抢钱帮,
Medal of Honor: Airborne,荣誉勋章：空降神兵,
Tropico 2: Pirate Cove,海岛大亨2：海盗岛,
Starship Troopers: Extermination,星河战队：灭绝,
Gravity Crash Ultra,究极重力冲撞,
Tales of Berseria,狂战传说,
Mad Father,狂父,
Marine Sharpshooter 2: Jungle Warfare,特种神枪手2：丛林战争,
Cardaclysm,卡牌浩劫,
BoBo.Dragon.Richer,勇者泡泡龙大富翁,
Dreamals,梦境萌宠,
Bloody Trapland,血腥陷阱大地,
DEAD OR ALIVE Xtreme 3 Scarlet,死或生：沙滩排球3 Scarlet,
Figment,虚构世界,
NieR,尼尔,
